seller_city,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_photos_qty,product_category_name,review_score,review_comment_title,payment_value,payment_installments,payment_type,payment_sequential,freight_value,price,geolocation_city,geolocation_city.1,order_estimated_delivery_date,order_delivered_customer_date,order_delivered_carrier_date,order_approved_at,order_status,order_purchase_timestamp,customer_city,customer_state,delivery_time_days,category,order_handlingtime,delay_days
tatui,SP,3600,62,23,23,2.0,esporte_lazer,1,,283.34,1,boleto,1,17.32,119.9,sao paulo,sao paulo,2018-04-13,2018-03-27 23:29:14,02/26/2018 22:28:50,2018-02-25 14:47:35,delivered,2018-02-25 13:50:30,sao paulo,SP,30.0,pet_shop,0,-17.0
curitiba,PR,650,16,10,16,1.0,cama_mesa_banho,5,,13.78,1,credit_card,1,24.65,397.0,sao paulo,sao paulo,2017-08-23,2017-08-18 14:28:02,08/17/2017 15:35:07,2017-08-12 02:45:24,delivered,2017-08-10 11:58:33,sao jose dos campos,SP,8.0,office_furniture,1,-5.0
sao paulo,SP,2150,70,8,34,9.0,ferramentas_jardim,5,,30.28,1,credit_card,1,23.35,59.9,são paulo,são paulo,2018-05-15,2018-05-05 12:28:34,04/18/2018 13:05:09,2018-04-16 22:10:26,delivered,2018-04-16 21:15:39,sao roque,SP,18.0,market_place,0,-10.0
garopaba,SC,800,40,10,34,1.0,moveis_decoracao,1,,26.58,1,credit_card,1,15.1,21.33,são paulo,são paulo,2018-01-08,2018-01-03 18:03:36,12/16/2017 00:18:57,2017-12-14 13:54:13,delivered,2017-12-12 13:56:04,camacari,BA,22.0,electronics,1,-5.0
sao paulo,SP,8950,52,51,17,1.0,moveis_escritorio,5,,89.68,1,credit_card,1,15.1,21.33,sao paulo,sao paulo,2018-03-07,2018-02-22 00:07:55,02/05/2018 21:26:53,2018-02-03 12:50:30,delivered,2018-02-03 12:38:58,resende,RJ,18.0,home_appliances,0,-13.0
camanducaia,MG,1388,34,9,31,4.0,esporte_lazer,4,Muito bom.,65.09,1,credit_card,1,15.1,21.33,sao paulo,sao paulo,2018-08-06,2018-07-31 22:48:50,07/30/2018 14:43:00,2018-07-29 23:45:15,delivered,2018-07-29 23:34:51,curitiba,PR,1.0,party_supplies,0,-6.0
tupa,SP,7950,33,30,44,9.0,bebes,5,,173.84,1,credit_card,1,14.1,16.5,sao paulo,sao paulo,2018-03-20,2018-03-20 00:59:25,02/20/2018 23:03:56,2018-02-17 16:15:34,delivered,2018-02-17 15:59:46,sumare,SP,30.0,home_confort,0,0.0
guarulhos,SP,6000,87,3,42,2.0,automotivo,5,Bom,103.49,1,credit_card,1,15.1,21.9,sao paulo,sao paulo,2018-03-29,2018-03-13 23:58:43,02/27/2018 18:52:09,2018-02-23 02:10:52,delivered,2018-02-21 18:15:12,guarulhos,SP,20.0,costruction_tools_tools,1,-16.0
sao jose dos pinhais,PR,263,18,12,16,1.0,eletronicos,5,,64.03,1,credit_card,1,16.11,39.0,sao paulo,sao paulo,2017-08-22,2017-08-08 21:24:41,08/03/2017 18:32:48,2017-08-02 02:56:02,delivered,2017-07-31 21:37:10,novo hamburgo,RS,7.0,agro_industry_and_commerce,1,-14.0
sao paulo,SP,3900,19,20,15,1.0,utilidades_domesticas,5,Maravilhoso!,157.15,3,credit_card,1,20.8,49.75,sao paulo,sao paulo,2018-07-17,2018-06-18 21:32:52,06/08/2018 11:49:00,2018-06-05 03:35:15,delivered,2018-06-01 12:23:13,sao luis,MA,17.0,furniture_mattress_and_upholstery,3,-29.0
sao paulo,SP,600,25,25,25,1.0,moveis_decoracao,1,,130.88,1,boleto,1,44.29,809.1,sao paulo,sao paulo,2018-04-12,2018-04-05 22:11:18,03/28/2018 17:22:53,2018-03-26 17:28:27,delivered,2018-03-26 17:12:18,sao jose,SC,10.0,books_technical,0,-7.0
brasilia,DF,2050,49,13,41,2.0,moveis_decoracao,2,,47.72,2,credit_card,1,13.72,99.99,sao paulo,sao paulo,2017-06-12,2017-05-31 13:58:46,05/22/2017 10:16:07,2017-05-19 19:05:17,delivered,2017-05-19 18:53:40,guarulhos,SP,11.0,home_construction,0,-12.0
brasilia,DF,725,22,17,15,2.0,brinquedos,1,,117.74,8,credit_card,1,19.95,59.9,sao paulo,sao paulo,2017-12-21,2017-12-28 18:59:23,12/13/2017 21:14:05,2017-11-25 00:21:09,delivered,2017-11-24 21:27:48,santa barbara,MG,33.0,musical_instruments,0,7.0
sao ludgero,SC,6350,45,15,35,4.0,cama_mesa_banho,5,,56.6,1,boleto,1,17.63,24.89,sao paulo,sao paulo,2017-09-01,2017-08-12 14:08:40,08/07/2017 17:52:01,2017-08-04 17:25:11,delivered,2017-08-04 17:10:39,sao paulo,SP,7.0,furniture_living_room,0,-20.0
sao jose,SC,600,70,11,11,4.0,bebes,5,Entrega perfeita,266.16,1,credit_card,1,17.63,24.89,sao paulo,sao paulo,2018-09-13,2018-08-13 23:34:42,08/06/2018 15:03:00,2018-08-04 23:35:13,delivered,2018-08-04 23:25:30,guarulhos,SP,9.0,construction_tools_lights,0,-31.0
piracicaba,SP,11750,18,40,79,2.0,cool_stuff,5,,31.38,1,boleto,1,17.63,24.89,sao paulo,sao paulo,2018-06-28,,06/05/2018 14:32:00,2018-06-05 04:31:18,shipped,2018-06-04 16:44:48,ribeirao preto,SP,,industry_commerce_and_business,0,
porto alegre,RS,2550,22,32,38,3.0,brinquedos,4,,121.49,1,credit_card,1,8.54,54.0,sao paulo,sao paulo,2017-06-09,2017-05-29 12:47:20,05/19/2017 12:01:38,2017-05-18 14:05:17,delivered,2017-05-18 13:55:47,belo horizonte,MG,10.0,food,0,-11.0
congonhal,MG,15350,47,40,47,3.0,cool_stuff,5,,32.0,1,credit_card,1,13.01,81.99,sao paulo,sao paulo,2017-06-12,2017-05-25 09:14:31,05/16/2017 08:17:46,2017-05-14 20:42:45,delivered,2017-05-14 20:28:25,ituiutaba,MG,10.0,art,0,-18.0
belo horizonte,MG,1300,25,16,25,2.0,moveis_decoracao,5,,153.41,5,credit_card,1,13.71,99.0,sao paulo,sao paulo,2018-05-25,2018-05-21 15:22:11,05/18/2018 13:02:00,2018-05-18 01:17:39,delivered,2018-05-17 16:59:11,taquarituba,SP,3.0,furniture_bedroom,0,-4.0
belo horizonte,MG,850,69,11,11,2.0,moveis_decoracao,5,,65.71,5,credit_card,1,7.78,18.99,sao paulo,sao paulo,2018-08-13,2018-08-02 22:09:11,07/30/2018 13:47:00,2018-07-29 11:44:19,delivered,2018-07-29 11:24:17,sao jose dos pinhais,PR,4.0,books_general_interest,0,-11.0
santo andre,SP,1300,19,28,17,1.0,beleza_saude,5,,278.22,4,credit_card,1,7.78,18.99,sao paulo,sao paulo,2017-08-31,2017-08-16 17:16:44,08/11/2017 17:52:32,2017-08-11 04:15:29,delivered,2017-08-09 20:19:05,jaragua do sul,SC,6.0,construction_tools_safety,1,-15.0
sao paulo,SP,4800,60,30,15,5.0,esporte_lazer,5,,91.66,4,credit_card,1,16.79,38.33,sao paulo,sao paulo,2018-02-23,2018-02-14 13:41:59,02/06/2018 19:13:26,2018-02-03 02:53:07,delivered,2018-02-01 14:02:19,sao paulo,SP,12.0,fashion_underwear_beach,1,-9.0
osasco,SP,1300,36,16,24,2.0,cool_stuff,1,,132.51,1,credit_card,1,18.0,69.9,sao paulo,sao paulo,2018-07-20,2018-07-03 18:37:46,06/27/2018 13:20:00,2018-06-27 08:35:32,delivered,2018-06-26 13:42:52,montes claros,MG,7.0,fashion_sport,0,-17.0
valinhos,SP,220,18,14,17,1.0,automotivo,5,,542.66,4,credit_card,1,18.21,195.0,sao paulo,sao paulo,2018-08-16,2018-07-31 22:26:55,07/27/2018 12:04:00,2018-07-26 14:55:10,delivered,2018-07-26 14:39:59,barrinha,SP,5.0,signaling_and_security,0,-16.0
joinville,SC,5700,41,17,49,4.0,bebes,5,Ótimo,166.04,1,boleto,1,15.2,35.9,sao paulo,sao paulo,2018-01-16,2018-01-03 15:09:32,12/19/2017 01:58:00,2017-12-15 00:14:55,delivered,2017-12-15 00:06:10,rio de janeiro,RJ,19.0,computers,0,-13.0
guaruja,SP,450,20,40,30,2.0,malas_acessorios,5,,368.98,1,boleto,1,21.05,79.5,sao paulo,sao paulo,2017-09-20,2017-09-04 20:59:55,08/31/2017 20:06:14,2017-08-31 08:30:17,delivered,2017-08-31 08:15:24,parati,RJ,4.0,christmas_supplies,0,-16.0
saquarema,RJ,2000,32,12,37,2.0,fashion_calcados,5,,113.2,2,credit_card,1,15.1,29.99,sao paulo,sao paulo,2018-07-16,2018-06-19 00:31:13,06/14/2018 13:03:00,2018-06-11 10:58:32,delivered,2018-06-11 10:25:52,dourados,MS,7.0,fashio_female_clothing,0,-27.0
barra velha,SC,100,19,3,11,2.0,telefonia,3,,99.43,3,credit_card,1,13.21,109.9,sao paulo,sao paulo,2018-07-05,2018-06-14 21:32:21,06/11/2018 14:54:00,2018-06-11 08:31:50,delivered,2018-06-11 08:18:19,sao paulo,SP,3.0,home_appliances_2,0,-21.0
petropolis,RJ,1100,30,20,23,1.0,cool_stuff,3,,27.35,2,credit_card,1,16.49,74.9,são paulo,são paulo,2018-04-02,2018-04-03 13:28:46,03/15/2018 00:31:19,2018-03-09 15:40:39,delivered,2018-03-09 14:50:15,trindade,GO,24.0,books_imported,0,1.0
santo antonio da patrulha,RS,1400,38,40,39,3.0,papelaria,4,,43.77,4,credit_card,1,18.23,14.95,sao paulo,sao paulo,2017-03-30,2017-04-06 13:37:16,03/22/2017 14:03:09,2017-03-13 18:14:36,delivered,2017-03-13 18:14:36,cascavel,PR,23.0,drinks,0,7.0
ponta grossa,PR,250,20,14,12,4.0,brinquedos,5,MT lindo,68.49,2,credit_card,1,43.11,149.9,sao paulo,sao paulo,2017-07-06,2017-06-19 18:51:28,06/16/2017 14:55:37,2017-06-15 03:05:45,delivered,2017-06-13 21:11:26,fortaleza,CE,5.0,cine_photo,1,-17.0
santana de parnaiba,SP,1050,25,20,14,1.0,esporte_lazer,5,,105.53,2,credit_card,1,14.1,19.99,sao paulo,sao paulo,2017-12-18,2017-12-05 20:28:40,12/04/2017 22:07:01,2017-12-02 02:51:18,delivered,2017-11-30 22:02:15,brasilia,DF,4.0,la_cuisine,1,-13.0
santo andre,SP,500,24,7,16,1.0,papelaria,5,,387.8,8,credit_card,1,29.39,390.0,sao paulo,sao paulo,2018-08-15,2018-08-10 18:35:40,08/06/2018 13:41:00,2018-08-05 13:24:34,delivered,2018-08-05 13:09:48,sao paulo,SP,5.0,music,0,-5.0
sao carlos,SP,1467,23,16,20,1.0,beleza_saude,5,,84.14,1,boleto,1,21.75,135.0,são paulo,são paulo,2017-12-05,2017-11-22 22:41:07,11/16/2017 22:03:00,2017-11-15 11:46:42,delivered,2017-11-15 11:31:41,pelotas,RS,7.0,home_comfort_2,0,-13.0
osasco,SP,100,16,5,11,3.0,fashion_bolsas_e_acessorios,5,,210.82,4,credit_card,1,16.43,104.0,sao paulo,sao paulo,2018-03-13,2018-03-09 22:22:25,02/22/2018 21:04:23,2018-02-21 06:15:25,delivered,2018-02-19 20:31:09,porto alegre,RS,18.0,small_appliances_home_oven_and_coffee,1,-4.0
ibitinga,SP,100,16,5,16,1.0,papelaria,4,,90.05,1,boleto,1,15.8,149.0,sao paulo,sao paulo,2018-05-15,2018-04-24 19:31:58,04/23/2018 19:19:14,2018-04-24 18:25:22,delivered,2018-04-22 08:48:13,rio de janeiro,RJ,2.0,cds_dvds_musicals,2,-21.0
sao paulo,SP,300,23,7,15,2.0,papelaria,5,,67.88,1,credit_card,1,13.46,279.9,sao paulo,sao paulo,2018-02-14,2018-01-17 20:26:31,01/10/2018 21:56:09,2018-01-07 21:51:28,delivered,2018-01-07 21:44:54,salto,SP,9.0,dvds_blu_ray,0,-28.0
sao jose dos pinhais,PR,950,60,15,15,2.0,esporte_lazer,5,,37.58,2,credit_card,1,23.22,44.9,sao paulo,sao paulo,2018-03-12,2018-02-20 22:13:08,02/14/2018 20:47:38,2018-02-10 13:35:31,delivered,2018-02-10 13:26:59,belo horizonte,MG,10.0,flowers,0,-20.0
sao paulo,SP,250,17,3,11,1.0,ferramentas_jardim,5,Ótimo Produto! ,89.63,1,boleto,1,19.18,37.99,sao paulo,sao paulo,2018-07-13,2018-06-22 21:18:51,06/19/2018 15:55:00,2018-06-18 17:00:57,delivered,2018-06-18 16:02:23,jundiai,SP,4.0,arts_and_craftmanship,0,-21.0
barueri,SP,12000,27,50,53,1.0,pcs,1,,69.46,1,voucher,1,15.31,29.99,são paulo,são paulo,2018-06-26,2018-06-18 22:32:44,06/15/2018 14:22:00,2018-06-15 02:37:29,delivered,2018-06-13 13:47:39,cachoeiro de itapemirim,ES,5.0,diapers_and_hygiene,1,-8.0
osasco,SP,921,17,9,16,6.0,automotivo,5,,78.3,2,credit_card,1,15.59,120.0,sao paulo,sao paulo,2018-08-02,2018-07-24 16:41:18,07/17/2018 15:33:00,2018-07-16 14:31:10,delivered,2018-07-15 08:33:19,cacapava,SP,9.0,fashion_childrens_clothes,1,-9.0
caxias do sul,SP,10000,60,25,25,1.0,casa_construcao,3,,50.8,1,voucher,1,21.62,492.75,sao paulo,sao paulo,2017-09-25,2017-09-16 15:40:08,09/15/2017 18:42:29,2017-09-13 14:44:39,delivered,2017-09-13 14:27:11,fortaleza,CE,3.0,security_and_services,0,-9.0
sao paulo,SP,250,16,11,11,2.0,relogios_presentes,5,,34.0,1,credit_card,1,18.54,94.9,são paulo,são paulo,2018-05-08,2018-04-19 20:41:45,04/13/2018 22:19:21,2018-04-13 13:30:02,delivered,2018-04-13 08:44:17,sao vicente,SP,6.0,,0,-19.0
joinville,SC,1200,44,20,20,3.0,cool_stuff,4,,77.1,1,boleto,1,21.11,88.34,sao paulo,sao paulo,2018-03-07,2018-02-24 19:15:56,02/20/2018 14:15:09,2018-02-15 10:47:59,delivered,2018-02-15 10:33:30,uberlandia,MG,9.0,,0,-11.0
araguari,MG,4800,25,8,25,1.0,construcao_ferramentas_construcao,3,,566.4,5,credit_card,1,65.56,199.99,sao paulo,sao paulo,2017-03-21,2017-03-09 14:27:58,02/23/2017 06:47:35,2017-02-22 03:10:20,delivered,2017-02-20 11:45:39,botelhos,MG,17.0,,1,-12.0
contagem,MG,700,40,20,20,1.0,pet_shop,5,,402.42,8,credit_card,1,19.67,99.9,sao paulo,sao paulo,2017-05-12,2017-05-10 09:17:55,04/24/2017 09:34:13,2017-04-21 05:15:56,delivered,2017-04-20 17:15:46,sao goncalo,RJ,19.0,,0,-2.0
jaragua do sul,SC,1050,18,21,27,3.0,beleza_saude,3,,57.53,1,voucher,2,8.9,78.0,sao paulo,sao paulo,2017-10-11,2017-09-25 20:14:48,09/18/2017 18:20:00,2017-09-15 09:35:18,delivered,2017-09-15 09:19:48,sao paulo,SP,10.0,,0,-16.0
ibitinga,SP,350,20,20,20,3.0,eletroportateis,1,,44.01,3,credit_card,1,8.9,78.0,sao paulo,sao paulo,2018-08-08,2018-08-06 18:44:46,08/01/2018 16:01:00,2018-07-31 03:50:24,delivered,2018-07-28 16:52:55,sao paulo,SP,9.0,,2,-2.0
sao bernardo do campo,SP,422,21,16,18,1.0,perfumaria,5,,187.51,3,credit_card,1,14.84,155.0,sao paulo,sao paulo,2017-08-31,2017-08-16 18:17:54,08/10/2017 20:21:53,2017-08-09 18:45:18,delivered,2017-08-09 18:32:47,araucaria,PR,6.0,,0,-15.0
lages - sc,SC,317,19,13,16,1.0,relogios_presentes,4,,77.7,3,credit_card,1,34.23,249.9,sao paulo,sao paulo,2018-08-30,2018-08-29 12:40:53,08/28/2018 12:56:00,2018-08-28 04:10:18,delivered,2018-08-26 22:04:34,sao vicente,SP,2.0,,1,-1.0
bento goncalves,RS,16400,63,66,56,1.0,agro_industria_e_comercio,5,RECOMENDO SEMPRE!!,48.68,1,credit_card,1,23.31,53.98,sao paulo,sao paulo,2017-08-16,2017-08-01 14:27:31,07/31/2017 16:42:54,2017-07-30 03:25:08,delivered,2017-07-30 03:06:35,nova iguacu,RJ,2.0,,0,-15.0
catanduva,SP,938,29,22,23,1.0,beleza_saude,5,,77.29,1,credit_card,1,32.57,8.99,sao paulo,sao paulo,2018-01-19,2018-01-09 19:52:32,12/27/2017 19:54:46,2017-12-23 02:15:31,delivered,2017-12-22 00:17:37,sao paulo,SP,18.0,,1,-10.0
ribeirao pires,SP,2700,21,16,31,1.0,beleza_saude,5,,117.71,8,credit_card,1,7.16,44.9,sao paulo,sao paulo,2017-04-27,2017-04-11 12:31:36,04/07/2017 14:54:18,2017-04-06 22:50:24,delivered,2017-04-06 22:39:29,areia branca,RN,4.0,,0,-16.0
sao paulo,SP,1750,30,18,30,1.0,cama_mesa_banho,5,,169.34,3,credit_card,1,17.67,60.6,sao paulo,sao paulo,2017-06-01,2017-05-18 13:22:35,05/10/2017 11:22:15,2017-05-09 21:02:45,delivered,2017-05-09 20:48:59,sao paulo,SP,8.0,,0,-14.0
jaboticabal,SP,3850,29,12,24,1.0,ferramentas_jardim,4,,37.61,1,credit_card,1,67.24,225.0,sao paulo,sao paulo,2017-05-25,2017-05-11 13:07:46,04/25/2017 08:23:08,2017-04-20 20:55:09,delivered,2017-04-20 20:42:44,campos dos goytacazes,RJ,20.0,,0,-14.0
echapora,SP,267,17,13,17,2.0,perfumaria,5,,13.8,1,credit_card,1,15.38,39.9,sao paulo,sao paulo,2017-11-21,2017-11-08 21:25:24,10/27/2017 22:14:21,2017-10-17 03:49:34,delivered,2017-10-16 14:56:50,sao carlos,SP,23.0,,0,-13.0
cotia,SP,16200,55,40,40,3.0,instrumentos_musicais,5,,227.12,1,debit_card,1,34.07,76.0,sao paulo,sao paulo,2018-01-03,2017-12-19 18:43:35,12/11/2017 15:19:04,2017-12-09 02:49:54,delivered,2017-12-08 09:42:43,sao paulo,SP,11.0,,0,-15.0
rio do sul,SC,1400,38,9,27,2.0,cama_mesa_banho,5,,34.78,3,credit_card,1,27.19,159.0,são paulo,são paulo,2017-09-21,2017-09-08 20:39:56,08/30/2017 13:26:32,2017-08-27 17:04:12,delivered,2017-08-26 16:53:30,itajuba,MG,13.0,,1,-13.0
